Ingredient Name,Category,Safety Level,Allergy Risk,Health Impact,Processing Level,Regulatory Status,Packaging Names / Alternate Names
Acesulfame Potassium,Artificial Sweeteners,Moderate Risk,No Risk,Negative,Ultra Processed,Approved with Limits,acesulfame potassium; acesulfame k; ace-k; ins 950; e950
Acetic Acid,Acidity Regulators,Safe,No Risk,Neutral,Processed,Approved,acetic acid; ins 260; e260
Activated Carbon,Processing Aids,Safe,No Risk,Neutral,Highly Processed,Approved with Limits,activated carbon; activated charcoal
Adipic Acid,Acidity Regulators,Safe,No Risk,Neutral,Processed,Approved,adipic acid; ins 355; e355
Agar-Agar,Gelling Agents,Safe,No Risk,Neutral,Processed,Approved,agar-agar; agar; china grass; ins 406; e406
Ajwain (Carom Seeds),Herbs & Spices,Very Safe,No Risk,Positive,Natural,Approved,ajwain; carom seeds
Almonds,Nuts & Seeds,Safe,High,Very Positive,Natural,Approved,almonds; badam
Amaranth (Rajgira),Cereals & Grains,Very Safe,No Risk,Positive,Minimally Processed,Approved,amaranth; rajgira; ramdana
Amla (Indian Gooseberry) Extract,Fruits,Very Safe,No Risk,Positive,Minimally Processed,Approved,amla extract; indian gooseberry extract
Ammonium Alginate,Stabilizers,Safe,No Risk,Neutral,Processed,Approved,ammonium alginate; ins 403; e403
Ammonium Bicarbonate,Raising Agents,Safe,No Risk,Neutral,Processed,Approved,ammonium bicarbonate; baker's ammonia; ins 503(ii)
Ammonium Phosphatide,Emulsifiers,Moderate Risk,No Risk,Neutral,Highly Processed,Approved,ammonium phosphatide; ins 442; e442
Amylase,Enzymes,Safe,Low,Neutral,Processed,Approved,amylase; diastase
Anhydrous Milk Fat,Dairy Ingredients,Safe,Medium,Neutral,Processed,Approved,anhydrous milk fat; amf
Anise Seed,Herbs & Spices,Very Safe,No Risk,Positive,Natural,Approved,anise seed
Annatto Extract,Food Colours,Safe,No Risk,Neutral,Minimally Processed,Approved,annatto extract; annatto; ins 160b; e160b
Anthocyanin,Food Colours,Very Safe,No Risk,Positive,Minimally Processed,Approved,anthocyanin; ins 163; e163
Apple Pulp,Fruits,Very Safe,No Risk,Positive,Minimally Processed,Approved,apple pulp; apple puree
Apricot Puree,Fruits,Very Safe,No Risk,Positive,Minimally Processed,Approved,apricot puree
Argon,Packaging Gas Ingredients,Very Safe,No Risk,Neutral,Processed,Approved,argon; ins 938; e938
Arrowroot Starch,Flour & Starch,Safe,No Risk,Neutral,Processed,Approved,arrowroot starch; arrowroot powder; tikhur
Artificial Butter Flavour,Artificial Flavours,Moderate Risk,Low,Neutral,Ultra Processed,Approved,artificial butter flavour; butter flavour (artificial)
Artificial Cheese Flavour,Artificial Flavours,Moderate Risk,Low,Neutral,Ultra Processed,Approved,artificial cheese flavour; cheese flavour (artificial)
Artificial Chocolate Flavour,Artificial Flavours,Moderate Risk,Low,Neutral,Ultra Processed,Approved,artificial chocolate flavour; chocolate flavour (artificial)
Artificial Fruit Flavour,Artificial Flavours,Moderate Risk,Low,Neutral,Ultra Processed,Approved,artificial fruit flavour; mixed fruit flavour (artificial)
Artificial Mango Flavour,Artificial Flavours,Moderate Risk,Low,Neutral,Ultra Processed,Approved,artificial mango flavour; mango flavour (artificial)
Artificial Mint Flavour,Artificial Flavours,Moderate Risk,Low,Neutral,Ultra Processed,Approved,artificial mint flavour; mint flavour (artificial)
Artificial Orange Flavour,Artificial Flavours,Moderate Risk,Low,Neutral,Ultra Processed,Approved,artificial orange flavour; orange flavour (artificial)
Artificial Pineapple Flavour,Artificial Flavours,Moderate Risk,Low,Neutral,Ultra Processed,Approved,artificial pineapple flavour; pineapple flavour (artificial)
Artificial Strawberry Flavour,Artificial Flavours,Moderate Risk,Low,Neutral,Ultra Processed,Approved,artificial strawberry flavour; strawberry flavour (artificial)
Artificial Vanilla Flavour,Artificial Flavours,Moderate Risk,Low,Neutral,Ultra Processed,Approved,artificial vanilla flavour; vanilla flavour (artificial); synthetic vanilla flavour; vanillin flavour
Asafoetida (Hing),Herbs & Spices,Very Safe,Low,Positive,Natural,Approved,asafoetida; hing
